state,frac,seq,AA,AS,B6,DL,EV,F9,HA,NK,OO,UA,VX,WN
FL,1000,2,8000,,5000,6000,,1000,,1000,,1000,,14000
FL,1000,3,10000,,9000,7000,,2000,,2000,,,,6000
FL,1000,4,5000,,4000,13000,,1000,,3000,,,,10000
FL,1000,5,13000,,4000,9000,,,,1000,,2000,,7000
FL,1000,6,12000,,4000,7000,,1000,,,,1000,,11000
FL,1000,7,9000,,4000,6000,,1000,,2000,,4000,,10000
FL,1000,8,9000,,3000,8000,,1000,,3000,,,,12000
FL,1000,9,10000,,6000,3000,,,,3000,,3000,,11000
FL,1000,10,11000,,7000,8000,,,,,,1000,,9000
FL,1000,11,7000,,3000,9000,,,,2000,,3000,,12000
FL,1000,12,10000,,7000,9000,,,,4000,,1000,,5000
FL,1000,13,13000,,4000,5000,,,,4000,,2000,,8000
FL,1000,14,10000,,5000,10000,,,,1000,,1000,,9000
FL,1000,15,11000,,4000,8000,,,,4000,,2000,,7000
FL,1000,16,10000,,4000,5000,,,,1000,,4000,,12000
FL,1000,17,9000,,4000,7000,,,,4000,,1000,,11000
FL,1000,18,6000,,9000,6000,,,,3000,,3000,,9000
FL,1000,19,8000,,5000,6000,,1000,,2000,,2000,,12000
FL,1000,20,5000,,5000,7000,,,,2000,,2000,,15000
GA,1,0,1062,,,22076,5968,,,620,557,596,,3654
GA,100,1,1200,,,22200,6400,,,900,600,300,,2900
GA,100,2,1000,,,23700,4900,,,500,400,900,,3100
GA,100,3,1200,,,23500,4700,,,500,500,300,,3800
GA,100,4,900,,,23000,5100,,,500,400,700,,3900
GA,100,5,300,,,21900,6100,,,700,300,600,,4600
GA,100,6,500,,,23500,5800,,,300,700,700,,3000
GA,100,7,600,,,22900,5900,,,800,400,300,,3600
GA,100,8,800,,,21800,7300,,,300,500,600,,3200
GA,100,9,1400,,,21200,6400,,,700,300,1000,,3500
GA,100,10,900,,,21700,6100,,,600,900,500,,3800
GA,100,11,1300,,,21600,6700,,,400,700,400,,3400
GA,100,12,1300,,,22100,5500,,,800,400,300,,4100
GA,100,13,900,,,22200,6800,,,300,600,800,,2900
GA,100,14,1200,,,22300,6000,,,600,300,400,,3700
GA,100,15,900,,,22100,5500,,,500,1100,800,,3600
GA,100,16,1100,,,22900,5200,,,600,500,1100,,3100
GA,100,17,1200,,,22200,4800,,,300,1000,600,,4400
GA,100,18,1300,,,22200,5200,,,400,800,800,,3800
GA,100,19,400,,,23700,5800,,,700,400,300,,3200
GA,100,20,800,,,22300,5700,,,700,700,300,,4000
GA,200,1,1200,,,22400,6400,,,600,400,600,,3000
